"^1[GRT] ^3Wheldon ^9^s2 "70
-705.837 302.456 0 0
-705.837 302.456 0 0
-705.837 302.456 0 0
-705.837 302.456 0 0
-705.837 302.456 0 0
-705.837 302.456 0 0
-705.836 302.453 0.219727 0
-705.838 302.456 0.274658 0
-705.838 302.456 0.32959 0
-705.839 302.459 0.263672 0
-705.839 302.458 0.153809 0
-705.838 302.455 0.296631 0
-705.837 302.454 0.0878906 0
-705.839 302.458 0.12085 0
-705.838 302.456 0.109863 0
-705.837 302.455 0.0219727 0
-705.838 302.458 0.164795 0
-705.839 302.458 0.0549316 0
-705.837 302.454 0.032959 0
-705.838 302.456 0.164795 0
-705.839 302.459 0.12085 0
-705.839 302.459 0.164795 0
-705.839 302.459 0.065918 0
-705.837 302.455 0.0769043 0
-705.838 302.459 0.0219727 0
-705.838 302.458 0.12085 0
-705.837 302.454 0.219727 0
-705.836 302.453 0.065918 0
-705.837 302.455 0.20874 0
-705.838 302.457 0.109863 0
-705.838 302.458 0.0878906 0
-705.838 302.457 0.164795 0
-705.837 302.456 0.153809 0
-705.837 302.454 0.142822 0
-705.837 302.455 0.142822 0
-705.838 302.456 0.0878906 0
-705.838 302.458 0.0549316 0
-705.838 302.456 0.142822 0
-705.838 302.458 0.131836 0
-705.838 302.456 0.0439453 0
-705.838 302.457 0.0109863 0
-705.837 302.456 0.131836 0
-705.838 302.457 0.0769043 0
-705.838 302.457 0.0109863 0
-705.838 302.457 0.153809 0
-705.838 302.456 0.065918 0
-705.837 302.455 0.0549316 0
-705.837 302.455 0.098877 0
-705.837 302.456 0.065918 0
-705.838 302.458 0.0109863 0
-705.837 302.455 0.0219727 0
-705.837 302.456 0.0439453 0
-705.838 302.457 0.0109863 0
-705.838 302.456 0 0
-705.838 302.456 0.0109863 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.837 302.456 0 0
-705.837 302.456 0 0
-705.837 302.456 0 0
-705.837 302.456 0 0
-705.837 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.838 302.456 0 0
-705.873 302.547 3.94409 0
-705.983 302.828 4.46045 0
-706.091 303.105 4.38354 0
-707.165 305.87 24.1479 0
-707.861 307.67 31.8164 0
-708.96 310.556 38.6169 0
-710.002 313.296 46.1865 0
-711.274 316.787 53.6023 0
-712.602 320.503 59.3042 0
-714.033 324.531 64.6875 0
-715.61 328.981 71.488 0
