"^2THR ^3Daniel ^s1 "6
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0.362549 0
-730.658 378.306 0.12085 0
-730.658 378.306 0.065918 0
-730.658 378.306 0 0
-730.658 378.306 0.0109863 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
-730.658 378.306 0 0
